Final Code	Item Name	UOM		HSN CODE	NEW ITEM DISRIPTION
PGVUL31001	PRECISION GRINDING VICE-150X48X60 MM	NOS			CAT. NO UL31001 PRECISION GRINDING VICE-150X48X60 MM
PGVUL31002	PRECISION GRINDING VICE-180X63X70 MM	NOS			CAT. NO UL31002 PRECISION GRINDING VICE-180X63X70 MM
PGVUL31003	PRECISION GRINDING VICE-200X73X80 MM	NOS			CAT. NO UL31003 PRECISION GRINDING VICE-200X73X80 MM
PGVUL31004	PRECISION GRINDING VICE-235X96X96 MM	NOS			CAT. NO UL31004 PRECISION GRINDING VICE-235X96X96 MM
PSVUL31101	PRECISION SCREW GRINDING VICE-150X50X50 MM	NOS			CAT. NO UL31101 PRECISION SCREW GRINDING VICE-150X50X50 MM
PSVUL31102	PRECISION SCREW GRINDING VICE-175X60X55 MM	NOS			CAT. NO UL31102 PRECISION SCREW GRINDING VICE-175X60X55 MM
PSVUL31103	PRECISION SCREW GRINDING VICE-190X75X65 MM	NOS			CAT. NO UL31103 PRECISION SCREW GRINDING VICE-190X75X65 MM
PSVUL31104	PRECISION SCREW GRINDING VICE-210X95X75 MM	NOS			CAT. NO UL31104 PRECISION SCREW GRINDING VICE-210X95X75 MM
PSVUL31201	PRECISION SINE VICE-190X65X85 MM	NOS			CAT. NO UL31201 PRECISION SINE VICE-190X65X85 MM
PSVUL31202	PRECISION SINE VICE-235X76X100 MM	NOS			CAT. NO UL31202 PRECISION SINE VICE-235X76X100 MM
PSVUL31203	PRECISION SINE VICE-265X95X105 MM	NOS			CAT. NO UL31203 PRECISION SINE VICE-265X95X105 MM
PSVUL31204	PRECISION SINE VICE-290X120X120 MM	NOS			CAT. NO UL31204 PRECISION SINE VICE-290X120X120 MM
PSVUL31205	PRECISION SINE VICE-310X140X145 MM	NOS			CAT. NO UL31205 PRECISION SINE VICE-310X140X145 MM
PSVEUL82901	PRECISION SCREW GRINDING VICE (ECONOMY MODEL) - 155X50X50 MM	NOS			CAT. NO UL82901 PRECISION SCREW GRINDING VICE (ECONOMY MODEL) - 155X50X50 MM
PSVEUL82902	PRECISION SCREW GRINDING VICE (ECONOMY MODEL) - 190X63X65 MM	NOS			CAT. NO UL82902 PRECISION SCREW GRINDING VICE (ECONOMY MODEL) - 190X63X65 MM
PSVEUL82903	PRECISION SCREW GRINDING VICE (ECONOMY MODEL) - 210X73X73 MM	NOS			CAT. NO UL82903 PRECISION SCREW GRINDING VICE (ECONOMY MODEL) - 210X73X73 MM
PSVEUL82904	PRECISION SCREW GRINDING VICE (ECONOMY MODEL) - 250X88X88 MM	NOS			CAT. NO UL82904 PRECISION SCREW GRINDING VICE (ECONOMY MODEL) - 250X88X88 MM
